Component,Package,Unit Price,Total Price,Manuf,Manuf Part No,Distrib,Distrib Part No,Ref Name,Qty,Estimated Current,Tollerance,Resistance/Capacitance
1/16W Resistor,DIP, $0.0010 , $0.0019 ,Yageo,RC0402JR-0710KL,Digi-Key,311-10KJRTR-ND,R3,2,,±5%,10k ?
1/16W Resistor,DIL, $0.0011 , $0.0011 ,Yageo,RC0402FR-071ML,Digi-Key,311-1.00MLRTR-ND,R2 R1,1,,±1%,1M ?
1N914,MISC, $0.9800 , $0.9800 ,Microsemi Commercial Components Group,1N914,Digi-Key,1N914MS-ND,D1,1,,,
2N2222,TO92, $0.2300 , $0.2300 ,MULTICOMP,2N2222,Multicomp,87K2254,Q1,1,,,
B3F-1050,DIP, $0.2300 , $1.1500 ,Omron Electronics Inc-EMC Div,B3F-1050,Digi-Key,SW404-ND,Reset Mode Hours Alarm Minutes,5,,,
Ceramic Capacitors,C, $0.0014 , $0.0041 ,Murata Electronics North America,GRM155R71H103KA88D,Digi-Key,490-4516-2-ND,C8 C3 C5,3,,±10%,.01uF
Ceramic Capacitors,C, $0.0014 , $0.0054 ,"Samsung Electro-Mechanics America, Inc.",CL05B104KO5NNNC,Digi-Key,1276-1001-2-ND,C4 C6 C9 C10,4,,±10%,.1uF
Ceramic Capacitors,C, $0.0041 , $0.0082 ,TDK Corporation,C1005X5R0J105K050BB,Digi-Key,445-4998-2-ND,C7 C11,2,,±10%,1uF
Ceramic Capacitors,C, $0.0034 , $0.0069 ,Kemet,C0603C100J5GACTU,Digi-Key,399-1049-2-ND,C13 C14,2,,±5%,10pF
Header2,SIP,, $-     ,,,,,J2,1,,,
Header5,SIP,, $-     ,,,,,J1,1,,,
LM2937ET-3.3,TO220, $1.2440 , $1.24 ,Texas Instruments,LM2937ET-3.3,Digi-Key,LM2937ET-3.3-ND,U2,1,,,
LogicAnalyzer,DIP,, $-     ,,,,,J3,1,,,
Speaker,DIP, $2.2620 , $2.26 ,"PUI Audio, Inc.",AST-1732MR-R,Digi-Key,668-1140-ND,J4,1,60mA,,
ST7735,LCD, $19.95 , $19.95 ,Adafruit,358,Adafruit,358,J5,1,TBD,,
tantalum,C, $0.1620 , $0.1620 ,AVX Corporation,F931C225MAA,Digi-Key,478-8250-2-ND,C12,1,,±20%,2.2µF
testpoint,SIP,, $-     ,,,,,GND,1,,,
testpoint,BIG,, $-     ,,,,,Battery,1,,,
testpoint,SIP,, $-     ,,,,,TP1,1,,,
TM4C123GH6PM,LQFP, $5.7750 , $5.78 ,Texas Instruments,TM4C123GH6PMI,Digi-Key,296-35848-ND,U1,1,19.7mA,,
XTAL,NX5032, $1.1800 , $1.18 ,Microchip Technology,USB3370B-EZK-TR,Digi-Key,USB3370B-EZK-TR-ND,Y1,1,,,
Battery,,, $-     ,,,,,,,,,
Box,,, $-     ,,,,,,,,,
Wire/Connectors,, $2.0000 , $4.0000 ,,,,,,2,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Total Cost, $36.9606 ,,,,,,,,,,,
Estamated Current,79.7mA,,,,,,,,,,,
